"Id";"DayType"
"Status2022619";"occupied"
"Status2022620";"occupied"
"Status2022621";"occupied"
"Status2022622";"occupied"
"Status2022623";"occupied"
"Status2022624";"occupied"
"Status2022625";"departure"
"Status2022904";"occupied"
"Status2022905";"occupied"
"Status2022906";"occupied"
"Status2022907";"occupied"
"Status2022908";"occupied"
"Status2022909";"occupied"
"Status2022910";"occupied"
"Status2022911";"occupied"
"Status2022912";"occupied"
"Status2022913";"occupied"
"Status2022914";"occupied"
"Status2022915";"occupied"
"Status2022916";"occupied"
"Status2022903";"arrivalDeparture"
"Status2023128";"arrival"
"Status2023129";"occupied"
"Status2023130";"occupied"
"Status2023131";"occupied"
"Status2023201";"occupied"
"Status2023202";"occupied"
"Status2023203";"occupied"
"Status2022317";"occupied"
"Status2022318";"occupied"
"Status2022319";"occupied"
"Status2022320";"occupied"
"Status2023204";"arrivalDeparture"
"Status2023205";"occupied"
"Status2023206";"occupied"
"Status2023207";"occupied"
"Status2023208";"occupied"
"Status2023209";"occupied"
"Status2023210";"occupied"
"Status2023211";"occupied"
"Status2023212";"occupied"
"Status2023213";"occupied"
"Status2023214";"occupied"
"Status2023216";"occupied"
"Status2023215";"occupied"
"Status2023217";"occupied"
"Status2023218";"departure"
"Status2022723";"arrival"
"Status2022724";"occupied"
"Status2022725";"occupied"
"Status2022726";"occupied"
"Status2022727";"occupied"
"Status2022728";"occupied"
"Status2022729";"occupied"
"Status2022730";"occupied"
"Status2022731";"occupied"
"Status2022801";"occupied"
"Status2022802";"occupied"
"Status2022803";"occupied"
"Status2022804";"occupied"
"Status2022805";"occupied"
"Status2022806";"departure"
"Status2022226";"departure"
"Status2022919";"notToOccupy"
"Status2022920";"notToOccupy"
"Status2022921";"notToOccupy"
"Status2022922";"notToOccupy"
"Status2022923";"notToOccupy"
"Status2022924";"notToOccupy"
"Status2022925";"notToOccupy"
"Status2022917";"arrivalDeparture"
"Status2022918";"notToOccupy"
"Status2023119";"occupied"
"Status2023120";"occupied"
"Status2023121";"occupied"
"Status2023122";"occupied"
"Status2024128";"occupied"
"Status2024129";"occupied"
"Status2024130";"occupied"
"Status2024131";"occupied"
"Status2024127";"arrival"
"Status2024201";"occupied"
"Status2024202";"occupied"
"Status2024203";"arrivalDeparture"
"Status2024204";"occupied"
"Status2024205";"occupied"
"Status2024206";"occupied"
"Status2024207";"occupied"
"Status2024208";"occupied"
"Status2024209";"occupied"
"Status2024210";"occupied"
"Status2024211";"occupied"
"Status2024212";"occupied"
"Status2024213";"occupied"
"Status2024214";"occupied"
"Status2024215";"occupied"
"Status2024216";"occupied"
"Status2023323";"occupied"
"Status2023324";"occupied"
"Status2023325";"occupied"
"Status2023725";"occupied"
"Status2023726";"occupied"
"Status2023724";"occupied"
"Status2023727";"occupied"
"Status2023728";"occupied"
"Status2023729";"occupied"
"Status2023730";"occupied"
"Status2023731";"occupied"
"Status2023801";"occupied"
"Status2024218";"occupied"
"Status2024219";"occupied"
"Status2024220";"occupied"
"Status2024221";"occupied"
"Status2024222";"occupied"
"Status2024223";"occupied"
"Status2024217";"arrivalDeparture"
"Status2023723";"arrival"
"Status2023803";"occupied"
"Status2023804";"occupied"
"Status2023805";"occupied"
"Status2023806";"occupied"
"Status2023807";"occupied"
"Status2023808";"occupied"
